कति चाहिन्छ? 	How much do you want it for?
यो कति हो? 	How much is this?
के मूल्य घटाउन सकिन्छ? 	Can you lower the price?
म रु ५०० मा किन्ने सोच्दैछु। 	I'm thinking of buying it for Rs. 500.
कृपया अलि सस्तो बनाउनुहोस्। 	Please make it a bit cheaper.
यो सामान रु २,००० छ भने ठीक होला। 	I'd be okay if this item were Rs. 2,000.
मसँग रु ५,००० मात्र छ। 	I only have Rs. 5,000.
के तपाइँ अन्तिम मूल्य रु ४,५०० बनाउन सक्नुहुन्छ? 	Can you make the final price Rs. 4,500?
यो रु १००,००० मा बेच्न तयार छु। 	I'll sell this for Rs. 100,000.
म १० लाख भित्र कार्यालय सेट अप गर्न चाहन्छु। 	I want to set up the office within Rs. 1,000,000 (10 lakh).
यो रु २५० मा छ भने लिन्छु। 	I'll take it if it's Rs. 250.
अहिलेको प्रस्ताव कस्तो छ? 	What's your current offer?
के अफर उपलब्ध छ? 	Is there any discount available?
के थोरै थप छुट मिल्छ? 	Can you give a little extra discount?
म रु १५,००० उपलब्ध गराउन सक्छु। 	I can pay Rs. 15,000.
यो मूल्य मेरो बजेटभन्दा माथि छ। 	This price is above my budget.
अगर तपाइँ रु ६०० मा दिनुहुन्छ भने म आजै लिन्छु। 	If you give it for Rs. 600, I'll take it today.
म कसरी थोरै घटाउन सक्छु? 	How can I reduce the price a bit?
के प्याकेजमा थप सेवा समावेश छ? 	Does the package include additional services?
म दुईवटा किन्ने हो भने थोरै छुट मिल्छ? 	If I buy two, will there be a small discount?
यो रु ५०,००० भन्दा बढी हुँदैन। 	It won't be more than Rs. 50,000.
म अन्तिम प्रस्ताव रु ७५,००० दिन्छु। 	My final offer is Rs. 75,000.
के तपाईँलाई रु ६०,००० मान्य छ? 	Is Rs. 60,000 acceptable to you?
मलाई साँच्चिकै रु १०,००,००० चाहिन्छ। 	I really need Rs. 1,000,000.
यो रु ३० मा पाउन सक्छु? 	Can I get this for Rs. 30?
कृपया नमकले मूल्य घटाउनुहोस्। 	Please reduce the price a little.
हामी बीचमा रु १,००० मा सम्झौता गरौं। 	Let's settle at Rs. 1,000 between us.
कति प्रतिशत छुट दिनुहुन्छ? 	What percentage discount will you give?
मलाई रु २०,००० छुट चाहिन्छ। 	I need a discount of Rs. 20,000.
के तपाइँले किस्ता योजना दिनुहुन्छ? 	Do you offer installment plans?
कर्जा बिना खरीद गर्न सकिन्छ? 	Can I purchase without a loan?
के तपाइँले थोक मूल्य बताउनुहुन्छ? 	Can you tell me the wholesale price?
म थोकमा किन्ने हो भने रु १०,००० छुट चाहिन्छ। 	If I buy wholesale, I need a Rs. 10,000 discount.
यो प्रस्ताव स्वीकार्य छ भने आजै रकम तिर्ढ। 	If the offer is acceptable, I'll pay today.
कति गुणा कम गर्न सकिन्छ? 	How much can it be reduced by?
म रु ८०,००० सम्म सुन्न तयार छु। 	I'm ready to consider up to Rs. 80,000.
के तपाइँको अन्तिम प्रस्ताव के हो? 	What's your final offer?
मलाई कन्फर्म, के यो रु ५०,००० मा उपलब्ध छ? 	Confirm, is this available for Rs. 50,000?
यो सामान रु ९९९ मात्रमा राख्नुहोस्। 	Price this item at only Rs. 999.
मसँग सीमित बजेट छ: रु २५,०००। 	I have a limited budget: Rs. 25,000.
किनमेल गर्दा कति छुट पाइन्छ? 	How much discount is given while shopping?
के तपाइँ डिलर रेट दिनुहुन्छ? 	Do you provide dealer rates?
म रु ५००० मा साट्न चाहन्छु। 	I want to trade it for Rs. 5,000.
तपाईंले प्रतिस्थापन साथ रु ७,००० दिनुहुन्छ? 	Will you give Rs. 7,000 with an exchange?
यो रु २,५०,००० मा किनबेच हुन्छ? 	Is this traded at Rs. 250,000?
मलाई रु २०० मा अन्य सामान चाहिन्छ। 	I need other items for Rs. 200.
कृपया सस्तो विकल्प दिनुहोस्। 	Please offer a cheaper option.
म रु ४,५०० को प्रस्ताव दिन्छु। 	I offer Rs. 4,500.
के तपाइँ रु ४,३०० मा मिल्न सक्नुहुन्छ? 	Can you meet at Rs. 4,300?
म कम रकममै राम्रो गुणस्तर खोज्दैछु। 	I'm looking for good quality at a low price.
म केहि नगद छुट चाहन्छु। 	I want a cash discount.
के क्यासमा थप छुट छ? 	Is there an extra discount for cash?
म रु ३,५०० अन्तिम प्रस्ताव गर्दछु। 	I propose Rs. 3,500 as my final offer.
तपाईँको मूल्य साँच्चिकै आकर्षक छ। 	Your price is really attractive.
मलाई रु १०,००० सम्मको छूट चाहिन्छ। 	I need a discount up to Rs. 10,000.
के तपाईँ परिमार्जन गर्न सक्नुहुन्छ? 	Can you negotiate?
मलाई ब्लकको लागि थोरै छुट दिनुहोस्। 	Give me a small discount for bulk.
यदि म ग्राहकलाई सिफारिस गरें भने थप छुट मिल्छ? 	Will there be extra discount if I refer customers?
यसलाई रु ५० मा लिउँ? 	Shall I take this for Rs. 50?
मलाई गुणस्तर र मूल्य दुवै चाहिन्छ। 	I need both quality and price.
के तपाइँले मूल्य समायोजन गर्न सक्नुहुन्छ? 	Can you adjust the price?
यो सेवा रु ५,०००/महिना मा हो भने ठीक छ। 	This service is fine at Rs. 5,000/month.
मलाई रु १००,००० को दर चाहिन्छ। 	I need a rate of Rs. 100,000.
के तपाइँ नकद भुक्तानीलाई प्राथमिकता दिनुहुन्छ? 	Do you prefer cash payments?
के भुक्तानीमा छुट हुन्छ? 	Is there a discount on payments?
म रु ९,९०० मा लिने छु भने के ग्यारेन्टी हुन्छ? 	If I take it for Rs. 9,900, is there a guarantee?
म रु ५०,००० बाट आरम्भ गर्छु। 	I start from Rs. 50,000.
तपाईंको न्यूनतम मूल्य के हो? 	What is your minimum price?
के तपाइँले सुपर सेभर अफर दिनुहुन्छ? 	Do you offer a super-saver deal?
मलाई रु १,००,००० को बिमा चाहिन्छ। 	I need insurance for Rs. 100,000.
कुन तरिकाले भुक्तानी गर्न मिल्छ? 	What payment methods are accepted?
मलाई किस्ता बताउनुहोस्। 	Tell me about instalments.
यो रु ३०० मा पाउने छैन भने फर्काउँछु। 	If it's not available for Rs. 300, I'll walk away.
म रु ७०,००० सम्म बोल्नेछु। 	I'll go up to Rs. 70,000.
किनमेल गर्दा उपहार कत्ति समावेश हुन्छ? 	How many gifts are included with purchase?
के विशेष छुट कुपन छ? 	Is there a special discount coupon?
मलाई रु ५० मा टिकट चाहिन्छ। 	I need a ticket for Rs. 50.
के मुल्यमा कर छुट छ? 	Is tax excluded from the price?
म रु १२,००० मा सम्झौता गर्छु। 	I'll settle for Rs. 12,000.
मिटरको हिसाबले मूल्य बताउनुहोस्। 	Tell me the price per unit.
के तपाईँ डिजाइन परिवर्तनको लागि थप शुल्क लिनुहुन्छ? 	Do you charge extra for design changes?
मर्केट रेट अनुसार रु ९०,००० हुन्छ। 	At market rate it's Rs. 90,000.
कृपया पिछले बिलसहित प्राथमिकता मूल्य दिनुहोस्। 	Please give preferential price with past bills.
के ग्यारेन्टी समावेश छ? 	Is warranty included?
तपाईंको अन्तिम र ऑफिसरमा के फरक छ? 	What's the difference between your final and offer price?
म रु २५० मा मात्र दिन्छु। 	I'll only pay Rs. 250.
के तपाइँले निःशुल्क डेलिभरी दिनुहुन्छ? 	Do you provide free delivery?
यदि तपाईं डेलिभरी फ्री गर्नुहुन्छ भने, म रु १,२०,००० तिर्न तयार छु। 	If you provide free delivery, I'm ready to pay Rs. 120,000.
मलाई रु ५०,००० को ग्यारेन्टी चाहिन्छ। 	I need a warranty of Rs. 50,000.
के तपाइँले सिजनल अफर दिनुहुन्छ? 	Do you offer seasonal deals?
मलाई सबै खर्च समावेश गरेर रु ४,५०,००० देखाउनुहोस्। 	Show me the all-inclusive cost as Rs. 450,000.
यदि म एकदमै रुचाउँछु भने के मुले घट्नेछ? 	If I really like it, will the price reduce?
के तपाइँले ब्याजरहित किस्ता उपलब्ध गराउनुहुन्छ? 	Do you offer interest-free installments?
म रु १०,००,००० (दस लाख) भित्रै पैसा खर्च गर्न चाहन्छु। 	I want to spend within Rs. 1,000,000 (ten lakh).
के तपाइँले श्रेणी अनुसार छुट दिनुहुन्छ? 	Do you give discounts by category?
यदि म थोरै मूल्यमा चाहन्छु भने के बदल्न सकिन्छ? 	If I want it cheaper, what can be changed?
के वार्षिक सवारी भाडा समावेश छ? 	Is annual vehicle rent included?
मसँग सीमित समय छ; के छिटो सम्झौता गर्न सकिन्छ? 	I have limited time; can we close the deal quickly?
के तपाइँले प्रयोग गरिएको सामानमा छुट दिनुहुन्छ? 	Do you give discounts on used goods?
यो रु ५००,००० भन्दा बढी छैन भने म ईन्टरस्टेड छु। 	I'm interested if it's no more than Rs. 500,000.
मलाई रु १०,००० मा सेवा चाहिन्छ। 	I need the service for Rs. 10,000.
के तपाइँले क्यास ब्याक अफर दिनुहुन्छ? 	Do you offer cashback deals?
म रु ७५,००० मा थोकमा लिन्छु भने छुट चाहिन्छ। 	If I buy wholesale at Rs. 75,000, I need a discount.
के तपाइँले ईमेलमा बिल पठाउनुहुन्छ? 	Will you send the bill by email?
मलाई रु ३०,००० को इन्स्टलमेन्ट चाहिन्छ। 	I need Rs. 30,000 in instalments.
म रु ५,०००० मा बन्द गर्न चाहन्छु। 	I want to close at Rs. 50,000.
कृपया थप किनमेल गरेमा छुट बढाउनुहोस्। 	Please increase the discount for additional purchases.
के तपाइँले अन्तिम मूल्य रु १०,००००० मा आउन सक्छ? 	Can you reach a final price of Rs. 1,000,000?
मलाई दुईवटा तोक्नुहोस् र कुल मूल्य दर्शाउनुहोस्। 	Give me two and show the total price.
के तपाइँ पुनर्विक्रेता मूल्य उपलब्ध गराउनुहुन्छ? 	Do you provide reseller pricing?
यदि म क्यास तिर्दछु भने के थप छुट छ? 	If I pay cash, is there extra discount?
म रु ३०० मा मात्र लिन तयार छु। 	I'm only willing to take it for Rs. 300.
सम्झौता पूरा भएमा म रु ८०,००० अग्रिम तिर्छु। 	If the deal completes, I'll pay Rs. 80,000 in advance.
के तपाइँले लागत र लाभको हिसाब देखाउनुहुन्छ? 	Will you show the cost and profit breakdown?
मलाई वार्षिक मर्मतको लागत कति हुन्छ? 	How much is the annual maintenance cost?
यो रु २०,००० को भित्री छ भने म सन्तुष्ट छु। 	I'm satisfied if it's within Rs. 20,000.
के तपाइँले प्रतिस्पर्धी मूल्य दिन सक्नुहुन्छ? 	Can you give a competitive price?
हामी रु १५,००० मा सम्झौता गर्न सक्छौं। 	We can negotiate at Rs. 15,000.
यदि मैले ठूलो अर्डर दिए भने के अतिरिक्त छुट पाइन्छ? 	If I place a large order, will I get additional discount?
तपाईंको प्रस्ताव रु ३०,००० मा स्वीकार्य छ। 	Your offer at Rs. 30,000 is acceptable.
के तपाइँले न्यूनतम अर्डर मात्रा बताउन सक्नुहुन्छ? 	Can you tell me the minimum order quantity?
मलाई रु ३०,००० सम्म मात्र खर्च गर्न मन लाग्छ। 	I prefer to spend only up to Rs. 30,000.
यदि मैले तुरुन्तै तिर्ने हो भने के घट्छ? 	If I pay immediately, will it reduce?
कृपया अन्तिम मूल्य लिखितमा दिनुहोस्। 	Please provide the final price in writing.
मलाई रु १०,००० सम्म बढी छुट चाहिन्छ। 	I need more discount up to Rs. 10,000.
के तपाइँले सर्भिस कन्डिसन पनि समावेश गर्नुहुन्छ? 	Do you include service conditions as well?
मलाई रु ७,५०० मा बन्द गर्न चाहिन्छ। 	I need to close at Rs. 7,500.
